Id,Name,English_Name,Type,Source,Episodes,Airing,Aired_From,Aired_To,Duration,Rating,Score,Scored_By,Rank,Popularity,Members,Favorites,Season,Year,Broadcast_Day,Broadcast_Time,Producers,Licensors,Studios,Genres,Themes
39753,"Omoi, Omoware, Furi, Furare","Love Me, Love Me Not",Movie,Manga,1,False,2020-09-18 00:00:00+00:00,,102,PG-13 - Teens 13 or older,7.26,23914,3013.0,2458,81642,325,fall,2020,,,,,A-1 Pictures,"Drama, Romance","Love Polygon, School"
5150,Hatsukoi Limited.,Hatsukoi Limited,TV,Manga,12,False,2009-04-12 00:00:00+00:00,2009-06-28 00:00:00+00:00,24,PG-13 - Teens 13 or older,7.26,41368,2987.0,2117,103375,230,spring,2009,Sundays,00:00,Shueisha,Sentai Filmworks,J.C.Staff,"Comedy, Romance",School
9181,Motto To LOVE-Ru,Motto To LOVE Ru,TV,Manga,12,False,2010-10-06 00:00:00+00:00,2010-12-22 00:00:00+00:00,24,R+ - Mild Nudity,7.26,194346,3007.0,726,340696,989,fall,2010,Wednesdays,02:00,"Geneon Universal Entertainment, TBS, Magic Capsule, PRA",Sentai Filmworks,Xebec,"Comedy, Romance, Sci-Fi, Ecchi","Harem, School"
59012,Wuliao Jiu Wanjie,Don't Give Up!,ONA,Manga,24,True,2024-07-05 00:00:00+00:00,,15,PG-13 - Teens 13 or older,7.25,418,3043.0,8536,5359,23,summer,2024,,,bilibili,,Shengying Animation,"Comedy, Romance, Sci-Fi",
55150,Yarinaoshi Reijou wa Ryuutei Heika wo Kouryakuchuu,The Do-Over Damsel Conquers The Dragon Emperor,TV,Light novel,12,True,2024-10-09 00:00:00+00:00,,23,PG-13 - Teens 13 or older,7.25,2354,3107.0,3971,33926,96,fall,2024,Wednesdays,22:00,"AT-X, Magic Capsule, Docomo Anime Store, Kansai Telecasting, BS NTV, Kadokawa",,J.C.Staff,"Comedy, Fantasy, Romance",Time Travel
51794,Nanatsu no Taizai: Mokushiroku no Yonkishi,The Seven Deadly Sins: Four Knights of the Apocalypse,TV,Manga,24,False,2023-10-08 00:00:00+00:00,2024-03-31 00:00:00+00:00,23,PG-13 - Teens 13 or older,7.25,17619,3074.0,2638,72510,393,fall,2023,Sundays,16:30,"VAP, Dentsu, TMS Entertainment, TBS, Kodansha, Movic, Sammy, Marui Group, Unlimited Produce by TMS",,Telecom Animation Film,"Action, Adventure, Fantasy",
36256,Katainaka ni Totsuidekita ○-ssia Musume to H Shimakuru Ohanashi,Katainaka ni Totsuidekita ○-ssia Musume to H Shimakuru Ohanashi,OVA,Web manga,4,False,2017-11-24 00:00:00+00:00,2018-03-30 00:00:00+00:00,17,Rx - Hentai,7.25,6649,,5550,15500,130,fall,2017,,,,,Collaboration Works,Hentai,
12143,Swing Out Sisters,Swing Out Sisters,OVA,Manga,1,False,2011-11-25 00:00:00+00:00,,30,Rx - Hentai,7.25,7013,,5340,17150,70,fall,2011,,,BreakBottle,,Tryforce,Hentai,
33322,JK Bitch ni Shiboraretai,JK Bitch ni Shiboraretai,OVA,Original,2,False,2016-08-19 00:00:00+00:00,2016-09-16 00:00:00+00:00,15,Rx - Hentai,7.25,13958,,4184,30250,349,summer,2016,,,Lune-Pictures,,T-Rex,Hentai,
37884,Golden Kamuy OVA,Golden Kamuy OVA,OVA,Manga,1,False,2018-09-19 00:00:00+00:00,,22,R - 17+ (violence & profanity),7.25,12791,3057.0,4302,28447,15,fall,2018,,,"NBCUniversal Entertainment Japan, Shueisha, Twin Engine",,Geno Studio,"Action, Adventure","Adult Cast, Historical, Military"
